ID,ptLTL,Generated ptLTL,Equivalence Check
classifier_assumption,(H (((classifier = 0) xor (classifier = 1)) xor (classifier = 2))),H((Classifier=0 ∨ Classifier=1 ∨ Classifier=2)),
dtt assumption,(H ((! (classifier = 0)) -> (distance_to_target >= 0))),H(((Classifier=1 ∨ Classifier=2) → (distance_to_target ≥ 0))),
operationalstate_0,(H ((OpState = 0) -> ((((! slowdown) & (! halt)) & (! alert)) & (! turnoffUVC)))),H((OpState=0 → (¬Slowdown ∧ ¬Halt ∧ ¬Alert ∧ ¬TurnoffUVC))),
operationalstate_1,(H ((OpState = 1) -> ((((! slowdown) & (! halt)) & alert) & (! turnoffUVC)))),H((OpState=1 → (Alert ∧ ¬Slowdown ∧ ¬Halt ∧ ¬TurnoffUVC))),
operationalstate_2,(H ((OpState = 2) -> (((slowdown & (! halt)) & alert) & (! turnoffUVC)))),H((OpState=2 → (Slowdown ∧ Alert ∧ ¬Halt ∧ ¬TurnoffUVC))),
operationalstate_3,(H ((OpState = 3) -> ((((! slowdown) & halt) & alert) & turnoffUVC))),H((OpState=3 → (Halt ∧ TurnoffUVC ∧ ¬Slowdown ∧ ¬Alert))),
state_req000,(H ((classifier = 0) -> (OpState = 0))),H((Classifier=0 → (OpState=0))),
state_req101,(H ((classifier = 1) -> (dgt_7 -> (OpState = 1)))),H(((Classifier=1 ∧ dgt_7) → (OpState=1))),
state_req102,(H ((classifier = 1) -> (((! dgt_7) & dgt_3) -> (OpState = 2)))),H(((Classifier=1 ∧ ¬dgt_7 ∧ dgt_3) → (OpState=2))),
state_req103,(H ((classifier = 1) -> ((! dgt_3) -> (OpState = 3)))),H(((Classifier=1 ∧ ¬dgt_3) → (OpState=3))),
state_req201,(H ((classifier = 2) -> (dgt_7 -> (OpState = 2)))),H(((Classifier=2 ∧ dgt_7) → (OpState=2))),
state_req202,(H ((classifier = 2) -> (((! dgt_7) & dgt_3) -> (OpState = 3)))),H(((Classifier=2 ∧ ¬dgt_7 ∧ dgt_3) → (OpState=3))),
state_req203,(H ((classifier = 2) -> ((! dgt_3) -> (OpState = 3)))),H(((Classifier=2 ∧ ¬dgt_3) → (OpState=3))),
