Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,R1,(G (battery > 0)),G(battery > 0),True
1/1,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
1/1,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
1/1,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
1/1,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
1/1,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
1/1,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
1/1,R2.6,(G (speed <= 10)),speed ≤ 10,False
1/1,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
1/2,R1,(G (battery > 0)),G (pre_battery > 0),False
2/2,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
2/2,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
2/2,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
2/2,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
2/2,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/2,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
2/2,R2.6,(G (speed <= 10)),speed ≤ 10,False
2/2,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
2/3,R1,(G (battery > 0)),G (battery > 0),True
3/3,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
3/3,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
3/3,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
3/3,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
3/3,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/3,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),O(start = s0 → currentPosition = initialPosition),False
3/3,R2.6,(G (speed <= 10)),G(speed ≤ 10),True
3/3,R3.5,(G (atGoal -> (currentPosition = goal))),G(atGoal → currentPosition = goal),True
3/4,R1,(G (battery > 0)),G(battery > 0),True
4/4,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
4/4,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
4/4,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
4/4,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
4/4,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
2/4,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
4/4,R2.6,(G (speed <= 10)),¬(speed > 10),False
4/4,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
3/5,R1,(G (battery > 0)),G (pre_battery > 0),False
5/5,R1.1,(G (chargePosition = x)),G (x = chargePosition),True
4/5,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = x),False
5/5,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
5/5,R2.1,(G (initialPosition = y)),G (y = initialPosition),True
5/5,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/5,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),currentPosition = initialPosition,False
5/5,R2.6,(G (speed <= 10)),speed ≤ 10,False
5/5,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
3/6,R1,(G (battery > 0)),G (pre_battery > 0),False
6/6,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
5/6,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
5/6,R2,(G (! Obstacle_currentPosition)),G (currentPosition ≠ obstacle),False
6/6,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
6/6,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
3/6,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
6/6,R2.6,(G (speed <= 10)),speed ≤ 10,False
5/6,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal) ∧ (¬atGoal → currentPosition ≠ goal),False
3/7,R1,(G (battery > 0)),G (batteryFull ∨ recharge),False
7/7,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
6/7,R1.2,(G (recharge -> (goal = chargePosition))),(recharge → G (goal = chargePosition)),False
6/7,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
7/7,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
7/7,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
4/7,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
7/7,R2.6,(G (speed <= 10)),speed ≤ 10,False
6/7,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
3/8,R1,(G (battery > 0)),G(batteryFull ∨ recharge ∨ pre_battery > 0),False
8/8,R1.1,(G (chargePosition = x)),G(chargePosition = x),True
7/8,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
7/8,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
8/8,R2.1,(G (initialPosition = y)),G(initialPosition = y),True
8/8,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
4/8,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
8/8,R2.6,(G (speed <= 10)),speed ≤ 10,False
7/8,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
4/9,R1,(G (battery > 0)),G (battery > 0),True
9/9,R1.1,(G (chargePosition = x)),G (x = chargePosition),True
8/9,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
7/9,R2,(G (! Obstacle_currentPosition)),G (currentPosition ≠ obstacle),False
9/9,R2.1,(G (initialPosition = y)),G (y = initialPosition),True
9/9,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
4/9,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
9/9,R2.6,(G (speed <= 10)),speed ≤ 10,False
8/9,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
4/10,R1,(G (battery > 0)),¬O(pre_battery = 0),False
10/10,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
9/10,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
7/10,R2,(G (! Obstacle_currentPosition)),¬O(currentPosition = obstacle),False
10/10,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
10/10,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
4/10,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
10/10,R2.6,(G (speed <= 10)),speed ≤ 10,False
9/10,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
4/11,R1,(G (battery > 0)),G(batteryFull ∨ ¬recharge),False
10/11,R1.1,(G (chargePosition = x)),G(x = x),False
10/11,R1.2,(G (recharge -> (goal = chargePosition))),(recharge → goal = chargePosition),False
8/11,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
11/11,R2.1,(G (initialPosition = y)),G(initialPosition = y),True
11/11,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
4/11,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
11/11,R2.6,(G (speed <= 10)),speed ≤ 10,False
9/11,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal) ∧ (¬O(currentPosition = goal ∧ ¬atGoal)),False
4/12,R1,(G (battery > 0)),G (pre_battery > 0),False
11/12,R1.1,(G (chargePosition = x)),G (x = chargePosition),True
11/12,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
9/12,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
12/12,R2.1,(G (initialPosition = y)),G (y = initialPosition),True
12/12,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
5/12,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
12/12,R2.6,(G (speed <= 10)),speed ≤ 10,False
10/12,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
5/13,R1,(G (battery > 0)),G (battery > 0),True
12/13,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
12/13,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
10/13,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
13/13,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
13/13,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
6/13,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
13/13,R2.6,(G (speed <= 10)),speed ≤ 10,False
11/13,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
6/14,R1,(G (battery > 0)),G(battery > 0),True
13/14,R1.1,(G (chargePosition = x)),G(chargePosition = x),True
13/14,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
10/14,R2,(G (! Obstacle_currentPosition)),G(currentPosition ≠ obstacle),False
14/14,R2.1,(G (initialPosition = y)),G(initialPosition = y),True
14/14,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
6/14,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
14/14,R2.6,(G (speed <= 10)),speed ≤ 10,False
12/14,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
6/15,R1,(G (battery > 0)),G (pre_battery > 0),False
14/15,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
14/15,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
11/15,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
15/15,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
15/15,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
6/15,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
14/15,R2.6,(G (speed <= 10)),(speed ≤ 10) G,
12/15,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → (currentPosition = goal)) G,
7/16,R1,(G (battery > 0)),G(battery > 0),True
14/16,R1.1,(G (chargePosition = x)),G(chargePosition = Y(chargePosition)),
15/16,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
11/16,R2,(G (! Obstacle_currentPosition)),G(¬(currentPosition = obstacle)),False
15/16,R2.1,(G (initialPosition = y)),G(initialPosition = Y(initialPosition)),
16/16,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
6/16,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),G(start = s0 → currentPosition = initialPosition),False
15/16,R2.6,(G (speed <= 10)),G(speed ≤ 10),True
13/16,R3.5,(G (atGoal -> (currentPosition = goal))),G(atGoal → currentPosition = goal),True
7/17,R1,(G (battery > 0)),G (pre_battery > 0),False
14/17,R1.1,(G (chargePosition = x)),G (x = x),False
16/17,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
12/17,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
15/17,R2.1,(G (initialPosition = y)),G (y = y),False
17/17,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
7/17,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
16/17,R2.6,(G (speed <= 10)),speed ≤ 10,False
14/17,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
8/18,R1,(G (battery > 0)),G(battery > 0),True
14/18,R1.1,(G (chargePosition = x)),G(chargePosition = Y(chargePosition)),
17/18,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
13/18,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
15/18,R2.1,(G (initialPosition = y)),G(initialPosition = Y(initialPosition)),
18/18,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
7/18,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
17/18,R2.6,(G (speed <= 10)),speed ≤ 10,False
15/18,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
9/19,R1,(G (battery > 0)),G(battery > 0),True
15/19,R1.1,(G (chargePosition = x)),G(chargePosition = x),True
18/19,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
14/19,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
16/19,R2.1,(G (initialPosition = y)),G(initialPosition = y),True
19/19,R2.2,(G (currentPosition = currentPhysicalPosition)),G(currentPosition = currentPhysicalPosition),True
7/19,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),G(start = s0 → currentPosition = initialPosition),False
18/19,R2.6,(G (speed <= 10)),G(speed ≤ 10),True
16/19,R3.5,(G (atGoal -> (currentPosition = goal))),G(atGoal → currentPosition = goal),True
10/20,R1,(G (battery > 0)),G(battery > 0),True
16/20,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
